sample,singleton_count
GCF_055523345.1_ASM5552334v1_genomic.fna.ref,1
SAMN11890742.fa,0
SAMEA5559726.fa,108
SAMN31697733.fa,0
SAMN36717146.fa,0
SAMD00232626.fa,0
SAMEA5526989.fa,1
SAMEA103900363.fa,1
SAMN09982341.fa,2
SAMEA3303403.fa,0
SAMEA6106958.fa,8
SAMEA104548069.fa,0
SAMN16629507.fa,1
SAMEA3912502.fa,0
SAMN00222982.fa,0
SAMN08862088.fa,3
SAMEA5534253.fa,3
SAMN10610770.fa,0
SAMEA1018243.fa,33
SAMN08862356.fa,0
SAMEA2445211.fa,5
SAMEA4673042.fa,63
SAMN15524626.fa,13
SAMEA2698349.fa,1
SAMEA5206248.fa,0
SAMN00632094.fa,2
SAMEA5526906.fa,0
SAMEA9565022.fa,5
SAMEA8271001.fa,9
SAMEA3303476.fa,0
SAMN10610927.fa,0
SAMN04875560.fa,0
SAMN37605446.fa,13
SAMN16491685.fa,0
SAMEA5534137.fa,1
SAMN36717390.fa,0
SAMEA3303486.fa,1
SAMEA889363.fa,0
SAMN08862276.fa,0
SAMEA1018320.fa,3
SAMEA3927703.fa,50
SAMEA1018391.fa,4
SAMEA1484052.fa,0
SAMN11053864.fa,3
SAMEA104548106.fa,1
SAMEA5206245.fa,23
SAMN15524592.fa,0
SAMEA104313115.fa,3
SAMEA104090843.fa,2
SAMN08979113.fa,0
SAMEA103907195.fa,0
SAMEA3927709.fa,0
SAMN38477906.fa,5
SAMD00232513.fa,0
SAMEA104717308.fa,0
SAMEA3903258.fa,1
SAMEA889322.fa,3
SAMN07632719.fa,0
SAMN10610814.fa,3
SAMEA114591707.fa,0
SAMEA889282.fa,0
SAMEA889261.fa,0
SAMEA2203505.fa,0
SAMN07569187.fa,2
SAMEA3303636.fa,46
SAMEA3303472.fa,0
SAMN28537771.fa,4
SAMEA2445184.fa,0
SAMD00232489.fa,0
SAMEA114293547.fa,2
SAMD00059642.fa,2
SAMD00232663.fa,2
SAMEA2160575.fa,0
SAMEA5527504.fa,0
SAMEA1405495.fa,3
SAMEA5559707.fa,1
SAMN32118040.fa,9
SAMN08862246.fa,1
SAMN30238355.fa,2
SAMEA1018635.fa,18
SAMN34159968.fa,109
SAMN15524646.fa,1
SAMEA5758689.fa,38
SAMEA104543445.fa,1
SAMN22063779.fa,0
SAMEA114245571.fa,0
SAMN10610862.fa,116
SAMN33974395.fa,0
SAMEA2202706.fa,10
SAMEA6855354.fa,0
SAMD00232567.fa,25
SAMN08862131.fa,1
SAMEA114395397.fa,0
SAMEA3927690.fa,0
SAMEA6106990.fa,2
SAMD00232637.fa,1
SAMN37573287.fa,2
SAMEA3356139.fa,0
SAMEA9564967.fa,8
SAMEA2203492.fa,0
SAMN26804329.fa,6
SAMN07632725.fa,3
SAMEA2151760.fa,2
SAMN37605414.fa,0
SAMN38477740.fa,2
SAMEA9564954.fa,0
SAMN38477875.fa,1
SAMN37573307.fa,0
SAMN08862355.fa,0
SAMEA2157454.fa,0
SAMEA6106980.fa,0
SAMN16629497.fa,1
SAMEA115755527.fa,83
SAMEA4057551.fa,1
SAMD00232587.fa,1
SAMEA3303503.fa,0
SAMN17075103.fa,1
SAMEA2240707.fa,2
SAMEA8271122.fa,2
SAMEA13600449.fa,7
SAMEA104090823.fa,0
SAMEA5936751.fa,4
SAMEA3912491.fa,10
SAMN07632699.fa,0
SAMEA114009718.fa,210
SAMEA889279.fa,1
SAMEA2445084.fa,0
SAMN18821891.fa,1
SAMN08862168.fa,0
SAMN38477790.fa,5
SAMEA5936750.fa,2
SAMN28183036.fa,3
SAMN18822069.fa,0
SAMN28537756.fa,3
SAMEA3303447.fa,1
SAMEA889355.fa,0
SAMN14538663.fa,0
SAMEA104570824.fa,2
SAMEA1018539.fa,2
SAMEA3303407.fa,6
SAMN16491690.fa,0
SAMN32508194.fa,0
SAMN36289169.fa,0
SAMN38477729.fa,6
SAMEA2445140.fa,0
SAMN08862317.fa,0
SAMEA3356129.fa,16
SAMEA4673439.fa,0
SAMEA3303692.fa,0
SAMEA2203682.fa,0
SAMN08862078.fa,1217
SAMN08979162.fa,0
SAMN36717136.fa,2
SAMEA4673324.fa,0
SAMEA6106944.fa,4
SAMN05590417.fa,0
SAMEA5527481.fa,0
SAMEA114006431.fa,116
SAMEA1405699.fa,0
SAMN08862130.fa,0
SAMN08862420.fa,0
SAMEA889229.fa,36
SAMEA104090896.fa,0
SAMEA9565017.fa,1
SAMEA3303680.fa,0
SAMN38477918.fa,1
SAMN08862110.fa,6
SAMEA3303457.fa,0
SAMN16629528.fa,0
SAMEA3903188.fa,0
SAMEA103900848.fa,123
SAMN35220785.fa,1
SAMEA5527204.fa,2
SAMEA4673086.fa,86
SAMEA1405622.fa,0
SAMN07569282.fa,0
SAMN10610910.fa,13
SAMN07632736.fa,0
SAMEA103920849.fa,0
SAMN07569183.fa,116
SAMN41012629.fa,0
SAMEA2519001.fa,0
SAMEA2203600.fa,4
SAMEA104090652.fa,0
SAMEA103900391.fa,0
SAMEA2445108.fa,3
SAMEA5526893.fa,2
SAMN40623180.fa,13
SAMN26815203.fa,0
SAMN30238359.fa,1
SAMEA3303504.fa,1
SAMEA104543450.fa,4
SAMD00232574.fa,7
SAMEA2698331.fa,0
SAMEA5534226.fa,0
SAMEA5526707.fa,0
SAMN00262259.fa,2
SAMN08862148.fa,2
SAMEA1018250.fa,2
SAMEA114395404.fa,3
SAMEA3303563.fa,0
SAMN28537797.fa,0
SAMEA104313114.fa,4
SAMEA104090794.fa,1
SAMEA3912512.fa,0
SAMN38477894.fa,0
SAMEA104090807.fa,0
SAMN40497769.fa,1
SAMEA1018715.fa,0
SAMN11890722.fa,0
SAMEA2203549.fa,1672
SAMN41053871.fa,0
SAMEA6106963.fa,0
SAMN11174976.fa,0
SAMEA115755552.fa,10
SAMN00989305.fa,6
SAMN16491710.fa,4
SAMEA8271151.fa,0
SAMEA5758697.fa,1
SAMN20306006.fa,1
SAMEA5527506.fa,1
SAMEA103910203.fa,0
SAMEA5526920.fa,1
SAMEA104090739.fa,2
SAMD00232593.fa,14
SAMN34159964.fa,4
SAMEA103910221.fa,0
SAMEA9564945.fa,0
SAMEA1018474.fa,2
SAMN28183058.fa,2
SAMEA889161.fa,1780
SAMD00180509.fa,2289
SAMN37285231.fa,0
SAMN07569189.fa,1590
SAMEA4057619.fa,0
SAMN08862337.fa,1
SAMEA110033028.fa,0
SAMN09982379.fa,4
SAMN00989309.fa,5
SAMEA889152.fa,3
SAMD00232496.fa,1
SAMN08979120.fa,38
SAMN35220773.fa,0
SAMEA5758699.fa,534
SAMEA889168.fa,41
SAMEA104090657.fa,2
SAMEA104717321.fa,0
SAMD00059665.fa,0
SAMEA4384459.fa,0
SAMD00232516.fa,1
SAMEA114395441.fa,2
SAMEA1018512.fa,0
SAMEA3903250.fa,0
SAMEA2203538.fa,0
SAMEA2445180.fa,0
SAMEA104717328.fa,5
SAMN07632711.fa,0
SAMEA1484044.fa,0
SAMN07569242.fa,0
SAMN16629513.fa,1
SAMEA115755576.fa,4
SAMN16491676.fa,0
SAMN08862085.fa,0
SAMN16629493.fa,1
SAMEA5526976.fa,1
SAMEA3303455.fa,1
SAMN18822091.fa,0
SAMEA13600382.fa,16
SAMN02697042.fa,0
SAMN38477860.fa,6
SAMEA889262.fa,1
SAMEA1484147.fa,1
SAMEA114293546.fa,0
SAMD00182553.fa,5
SAMEA3927708.fa,0
SAMEA13600433.fa,18
SAMEA103899943.fa,0
SAMEA6529916.fa,0
SAMEA104313093.fa,3
SAMEA2158734.fa,0
SAMEA5527011.fa,3
SAMEA2445138.fa,8
SAMN08862098.fa,0
SAMEA2275605.fa,3
SAMEA4673187.fa,1
SAMEA1405553.fa,1
SAMN26804322.fa,3
SAMEA2147252.fa,5
SAMEA4673213.fa,0
SAMN32508191.fa,1
SAMN10610787.fa,9
SAMEA6855435.fa,0
SAMEA104547399.fa,2
SAMEA8271039.fa,0
SAMN03436152.fa,2
SAMEA3927675.fa,1
SAMN22063813.fa,1
SAMD00182534.fa,0
SAMEA114009721.fa,0
SAMEA3927700.fa,0
SAMEA6855240.fa,0
SAMD00232611.fa,3
SAMEA889234.fa,1
SAMEA3903197.fa,13
SAMEA2007255.fa,0
SAMEA4384476.fa,0
SAMN10610940.fa,0
SAMEA3303499.fa,7
SAMN08862284.fa,0
SAMEA3903187.fa,1
SAMEA1018699.fa,3
SAMEA6855335.fa,1224
SAMEA889218.fa,7
SAMEA6855436.fa,36
SAMN08862233.fa,1
SAMD00514827.fa,1048
SAMN28767354.fa,0
SAMN05590424.fa,84
SAMN27544053.fa,2
SAMEA104090658.fa,0
SAMEA3303613.fa,2
SAMEA4673241.fa,0
SAMN37573294.fa,0
SAMN16629519.fa,4
SAMEA104090674.fa,0
SAMN00632102.fa,0
SAMEA2300103.fa,2
SAMN08862230.fa,5
SAMEA4673251.fa,6
SAMN28196455.fa,3
SAMEA2445096.fa,0
SAMEA103920799.fa,3
SAMEA104090608.fa,1929
SAMN16911781.fa,0
SAMEA3356131.fa,1
SAMN35220782.fa,1197
SAMN41012644.fa,1
SAMEA3903260.fa,241
SAMEA889357.fa,3
SAMEA1484021.fa,0
SAMEA2203686.fa,0
SAMEA3903247.fa,0
SAMEA104125051.fa,1
SAMEA2203569.fa,1
SAMEA2156636.fa,0
SAMN07569207.fa,0
SAMN07569174.fa,51
SAMEA3303399.fa,0
SAMEA1018565.fa,0
SAMN08862075.fa,0
SAMN18822038.fa,0
SAMN37573308.fa,0
SAMN08862077.fa,0
SAMN08862269.fa,11
SAMEA13600383.fa,1
SAMEA1484068.fa,1
SAMEA103900805.fa,0
SAMN18822042.fa,2
SAMN27544080.fa,2
SAMEA1018339.fa,0
SAMN07569332.fa,0
SAMN38477739.fa,0
SAMEA3903209.fa,0
SAMEA3303524.fa,1
SAMEA103910261.fa,0
SAMEA5527482.fa,0
SAMN16629490.fa,1
SAMN32508183.fa,0
SAMEA3934806.fa,0
SAMN38477745.fa,0
SAMN08862169.fa,0
SAMEA2202796.fa,0
SAMN28537761.fa,3
SAMEA114395419.fa,0
SAMN36289165.fa,0
SAMD00232656.fa,40
SAMN27544058.fa,1272
SAMN32378347.fa,12
SAMEA103910264.fa,88
SAMD00232556.fa,1
SAMN18822094.fa,1
SAMN40497772.fa,4
SAMEA103905200.fa,79
SAMEA103907205.fa,0
SAMEA3934825.fa,0
SAMN38477802.fa,9
SAMEA103910214.fa,3
SAMEA3303599.fa,5
SAMEA1018226.fa,0
SAMEA104148040.fa,1
SAMEA2275600.fa,1
SAMEA2445062.fa,0
SAMN28537778.fa,1
SAMEA1484051.fa,3
SAMEA104090769.fa,0
SAMD00514831.fa,1
SAMEA5559671.fa,0
SAMEA103900369.fa,2
SAMEA3303507.fa,0
SAMEA6422792.fa,0
SAMN40623197.fa,0
SAMN26815214.fa,2
SAMEA2696134.fa,2
SAMEA3903196.fa,0
SAMEA115755516.fa,9
SAMN40623248.fa,0
SAMEA104125053.fa,0
SAMEA2445200.fa,2
SAMEA889371.fa,2
SAMN35220783.fa,0
SAMEA5526695.fa,0
SAMEA4384759.fa,2
SAMEA103905935.fa,45
SAMN26815230.fa,4
SAMEA104090873.fa,8
SAMEA4673254.fa,1
SAMEA2147428.fa,0
SAMEA114395371.fa,2
SAMEA104090868.fa,0
SAMEA889312.fa,0
SAMN10610750.fa,1
SAMN40623202.fa,1
SAMEA3303580.fa,17
SAMN16491715.fa,0
SAMN07569247.fa,0
SAMN16629496.fa,5
SAMEA6855332.fa,2
SAMEA5534316.fa,10
SAMN08862381.fa,6
SAMEA8271116.fa,4
SAMEA6855419.fa,7
SAMEA3303425.fa,0
SAMEA114298210.fa,98
SAMN29637582.fa,1
SAMEA9565008.fa,0
SAMN08862234.fa,4
SAMEA6529907.fa,2
SAMEA1484025.fa,52
SAMEA104090866.fa,1
SAMN26815217.fa,5
SAMEA1018509.fa,0
SAMEA3934822.fa,7
SAMEA2445269.fa,7
SAMEA5758736.fa,121
SAMN08979242.fa,2
SAMEA5527105.fa,0
SAMEA6106959.fa,1
SAMN30329101.fa,0
SAMN38477837.fa,1
SAMEA104548813.fa,0
SAMN07632787.fa,4
SAMEA2693521.fa,3
SAMEA3303512.fa,3
SAMN32620388.fa,2
SAMEA3303484.fa,3
SAMEA8271276.fa,4
SAMEA1920009.fa,18
SAMN08862115.fa,0
SAMEA1484071.fa,0
SAMN13388573.fa,4
SAMN37573331.fa,1
SAMEA6855233.fa,1
SAMD00232549.fa,7
SAMEA6855397.fa,6
SAMEA103905091.fa,0
SAMEA2203442.fa,4
SAMEA4673274.fa,0
SAMEA114009715.fa,23
SAMN08862206.fa,3
SAMEA1484039.fa,0
SAMEA2203678.fa,1
SAMN40623156.fa,0
SAMEA104125003.fa,0
SAMEA3903190.fa,96
SAMEA6855360.fa,3
SAMEA104543432.fa,0
SAMN08862313.fa,43
SAMN15524652.fa,0
SAMN17075094.fa,1
SAMN13282676.fa,0
SAMN10610749.fa,0
SAMEA2203462.fa,0
SAMEA103900807.fa,2
SAMN37573288.fa,0
SAMEA4384840.fa,0
SAMN07569221.fa,1
SAMD00182570.fa,0
SAMEA5526938.fa,0
SAMN41053895.fa,1
SAMN28183047.fa,0
SAMEA3934812.fa,78
SAMN08862136.fa,4
SAMEA5534314.fa,0
SAMEA1484033.fa,4
SAMEA2445126.fa,1
SAMEA104547395.fa,5
SAMEA8271183.fa,0
SAMEA3303710.fa,133
SAMEA5534125.fa,0
SAMD00232642.fa,1
SAMEA4384433.fa,2
SAMN37573284.fa,7
SAMN07632677.fa,0
SAMN07569176.fa,8
SAMEA103905098.fa,2
SAMEA2445215.fa,0
SAMD00182541.fa,21
SAMN08862101.fa,0
SAMEA103910183.fa,5
SAMEA4384670.fa,0
SAMEA3903239.fa,0
SAMN16629527.fa,0
SAMEA2203684.fa,13
SAMEA3303441.fa,0
SAMEA5526681.fa,1
SAMEA114298201.fa,0
SAMEA115755519.fa,0
SAMEA5526945.fa,1
SAMD00232665.fa,0
SAMEA3303678.fa,2
SAMEA103905942.fa,1
SAMN18822011.fa,0
SAMN16629518.fa,0
SAMN38477900.fa,1
SAMEA3912556.fa,0
SAMEA2445315.fa,3
SAMEA104548061.fa,2
SAMN41053897.fa,1
SAMEA3927645.fa,2
SAMEA104547637.fa,1
SAMN33339972.fa,6
SAMN27544065.fa,0
SAMN07569256.fa,11
SAMN08979173.fa,55
SAMN08862156.fa,1
SAMEA103905214.fa,3
SAMN36289167.fa,0
SAMN07569267.fa,2
