sample,singleton_count
GCF_005472655.1_ASM547265v1_genomic.fna.ref,1
SAMN36537659.fa,6
SAMN02567648.fa,1
SAMN37369599.fa,3
SAMEA3930735.fa,0
SAMD00030624.fa,0
SAMN27804177.fa,5
SAMEA103905970.fa,1
SAMN39934848.fa,15
SAMEA18745918.fa,8
SAMEA3931068.fa,3
SAMN19233119.fa,7
SAMN39937501.fa,1
SAMN27769807.fa,0
SAMN08691165.fa,2
SAMN02567404.fa,3
SAMN08691782.fa,5
SAMN07154171.fa,0
SAMEA103905604.fa,3
SAMN07153197.fa,241
SAMEA1523511.fa,7
SAMN37144572.fa,6
SAMEA2590792.fa,11
SAMEA3919114.fa,1
SAMEA6621210.fa,3
SAMN09849497.fa,0
SAMEA3713554.fa,7
SAMEA3177969.fa,0
SAMEA115029665.fa,9
SAMEA4549221.fa,2
SAMN27992122.fa,0
SAMEA114381427.fa,5
SAMEA4548961.fa,96
SAMN30816822.fa,0
SAMN07153421.fa,1
SAMEA115179954.fa,1
SAMN08692382.fa,3
SAMN27770318.fa,5
SAMN27804443.fa,1
SAMEA103905657.fa,7
SAMEA4550835.fa,1
SAMEA103905669.fa,1
SAMN07154291.fa,0
SAMN33608404.fa,4
SAMN27770181.fa,13
SAMN27922538.fa,3
SAMEA115296844.fa,0
SAMEA115180025.fa,2
SAMEA113551702.fa,9
SAMEA6226759.fa,1
SAMEA112468291.fa,2
SAMEA2225454.fa,2
SAMN42083923.fa,0
SAMD00030423.fa,4
SAMEA114590971.fa,0
SAMN09849413.fa,1
SAMEA4550852.fa,4
SAMEA3713013.fa,11
SAMN33608833.fa,0
SAMEA4550008.fa,23
SAMN02601688.fa,9
SAMN27992130.fa,12
SAMEA2590695.fa,6
SAMN09849021.fa,550
SAMEA1711663.fa,7
SAMN30450218.fa,1
SAMEA12362528.fa,0
SAMEA3712953.fa,0
SAMD00030415.fa,3
SAMEA114381557.fa,177
SAMD00030256.fa,1088
SAMD00046279.fa,555
SAMEA1711575.fa,519
SAMN33608527.fa,0
SAMN27992143.fa,3
SAMN33608433.fa,1
SAMEA4551112.fa,1
SAMN07153585.fa,7
SAMN33608667.fa,0
SAMEA103905826.fa,6
SAMN39441329.fa,0
SAMEA3931013.fa,0
SAMN30450417.fa,3
SAMN27804739.fa,5
SAMN27863004.fa,10
SAMN02570685.fa,4
SAMEA4551668.fa,2
SAMN07153278.fa,13
SAMEA3712979.fa,5
SAMN07153424.fa,0
SAMD00030472.fa,3
SAMN27750347.fa,0
SAMN27770162.fa,1
SAMN09849447.fa,1
SAMEA2271893.fa,0
SAMD00030645.fa,0
SAMN09849580.fa,67
SAMEA1486565.fa,70
SAMEA4550606.fa,5
SAMN28195440.fa,9
SAMN27923071.fa,8
SAMN27750413.fa,2
SAMN27922682.fa,0
SAMN39934940.fa,11
SAMN35797457.fa,7
SAMN42382223.fa,2
SAMN27922343.fa,10
SAMEA4470459.fa,0
SAMN08692776.fa,3
SAMN02567369.fa,0
SAMN27770105.fa,3
SAMEA2590721.fa,1
SAMN27862927.fa,3
SAMEA12362555.fa,0
SAMD00030573.fa,4
SAMEA6921952.fa,3
SAMN31496312.fa,7
SAMEA3177990.fa,1
